@relation trainAll

@attribute adventurer numeric
@attribute advocate numeric
@attribute agreeableness numeric
@attribute anger numeric
@attribute architect numeric
@attribute campaigner numeric
@attribute commander numeric
@attribute confidence numeric
@attribute conscientiousness numeric
@attribute consul numeric
@attribute debater numeric
@attribute defender numeric
@attribute entertainer numeric
@attribute entrepreneur numeric
@attribute executive numeric
@attribute extraversion numeric
@attribute fear numeric
@attribute hashtags numeric
@attribute isAgreement {True,False}
@attribute isIronic {False,True}
@attribute isRetweet {False,True}
@attribute isSubjective {True,False}
@attribute joy numeric
@attribute links numeric
@attribute logician numeric
@attribute logistician numeric
@attribute mediator numeric
@attribute mentions numeric
@attribute openness numeric
@attribute polarity {P,NONE,N,NEU,P+,N+}
@attribute protagonist numeric
@attribute sadness numeric
@attribute surprise numeric
@attribute text string
@attribute topic {nostalgia,psychology,cricket,music,personal_care_and_beauty,philosophy,astronomy,history,biology,entertainment_news,math,drugs,energy,business,tattoo,hunting,scuba,comics,soccer,writing,television,aviation,boxing,weight_training,health,art,islam,running,programming,bicycling,science,design,wedding,parenting,gender_issues,judaism,gardening,tennis,jobs,architecture,wrestling,education,christianity,skateboarding,climbing,weather,surfing,school,cars,gaming,archery,ultimate,swimming,buddhism,poetry,rugby,wine,nfl,anime,fashion,comedy,guns,books,religion,individualist_politics,hockey,medicine,technology,poker,investment,personal,romance,yoga,singing,golf,startups_and_entrepreneurship,environmental,atheism,general_food,nba,travel,beer,pets,film,relationships,fiction,baseball,electronics,military,lgbt,realestate,fitness,conspiracy,vegetarian,nutrition,dieting,DIY,economic_discussion,sports,photography,personalfinance,fishing,sailing,vegan,left_politics,anthropology,crafts,news,right_politics}
@attribute virtuoso numeric
@attribute words numeric
@attribute class {Bot,Human}

@data
0.088292,0.067882,0.625037,0.128419,0.033959,0.083573,0.038765,100,0.465659,0.09345,0.041809,0.081864,0.100787,0.050421,0.04675,0.545983,0.113918,0,True,False,False,True,0.045911,0,0.036625,0.040954,0.073211,0,0.476066,P,0.077488,0.703584,0.008168,'i remember in 7th grade we used to fight the 8th graders at recess . dem were the days man lol',nostalgia,0.04417,20,Bot
0.001363,0.106572,0.446411,0.544435,0.180212,0.000884,0.122688,92,0.807785,0.076153,0.001495,0.111859,0.000928,0.001569,0.128774,0.356724,0.112559,0,True,False,False,False,0.145717,0,0.002195,0.189152,0.001298,0,0.355307,P,0.072554,0.190533,0.006755,'You cannot perform in a manner inconsistent with the way you see yourself. - Zig Ziglar',psychology,0.002304,15,Bot
0.068174,0.07529,0.602299,0.180779,0.044897,0.081942,0.053156,100,0.485526,0.087807,0.048863,0.074163,0.080716,0.048132,0.052361,0.544416,0.155429,0,True,False,False,False,0.328578,0,0.041271,0.044225,0.06921,1,0.49782,NONE,0.08914,0.174079,0.161135,'@bpadthai Follow me!',cricket,0.040654,3,Bot
0.076874,0.0441,0.552583,0.02522,0.032626,0.058411,0.044546,100,0.508842,0.108192,0.043214,0.079242,0.104958,0.077651,0.080044,0.547433,0.137544,0,True,False,False,False,0.250956,0,0.031651,0.058626,0.042781,1,0.401245,NONE,0.060211,0.147975,0.438305,'@TayaPYT thanx babe .. Xoxo .. See u in a second',cricket,0.056873,9,Bot
0.046626,0.04822,0.565741,0.064704,0.035651,0.114529,0.071479,100,0.439181,0.078911,0.084677,0.039358,0.093482,0.069116,0.058343,0.626587,0.058591,0,True,False,False,True,0.441898,0,0.042234,0.0291,0.057123,0,0.542604,P,0.096677,0.068614,0.366193,'best taste in music',music,0.034473,4,Bot
0.054077,0.058424,0.738532,0.403741,0.015422,0.12944,0.038724,100,0.449679,0.153895,0.034168,0.061288,0.135787,0.035843,0.040623,0.676839,0.222066,0,True,False,True,False,0.061089,0,0.013607,0.016178,0.051549,1,0.482595,N,0.146702,0.305842,0.007262,'RT @KarlJCompton: I feel like a banshee today with my hair ugh',personal_care_and_beauty,0.014274,12,Bot
0.055132,0.067263,0.56582,0.404688,0.049506,0.093485,0.066794,92,0.466071,0.072211,0.068805,0.053521,0.074385,0.054747,0.053147,0.564619,0.164106,0,True,False,False,False,0.044143,0,0.050996,0.039391,0.069288,0,0.539697,P,0.090753,0.333978,0.053085,'What do we live for if it is not to make life less difficult for each other? - George Eliot',philosophy,0.040577,19,Bot
0.084585,0.071201,0.545722,0.035293,0.053998,0.071515,0.04443,94,0.463462,0.057013,0.054236,0.069291,0.069597,0.052782,0.043238,0.487475,0.08963,0,False,False,False,True,0.235255,0,0.065916,0.052549,0.086916,1,0.521154,N,0.058584,0.466511,0.17331,'@T_H_O_D Aim for the moon. If you miss you may hit a star. William Clement Stone',astronomy,0.064148,16,Bot
0.054804,0.078853,0.519883,0.163229,0.07322,0.073628,0.068907,94,0.484122,0.051981,0.068369,0.055235,0.051575,0.047891,0.048268,0.500679,0.180396,0,False,False,False,False,0.267413,0,0.072649,0.051289,0.078237,0,0.559484,NEU,0.074207,0.294009,0.094952,'Venezuela beauty queens protest: While Venezuela beauty queens aid the opposition the president sings a song called Plastic. CNN\'s...',history,0.050889,19,Bot
0.053774,0.077548,0.464953,0.104613,0.09436,0.053052,0.068428,100,0.510796,0.041337,0.064553,0.057002,0.038996,0.04745,0.050298,0.446795,0.327299,0,True,False,True,False,0.12487,2,0.089017,0.06936,0.073157,1,0.548611,P,0.056236,0.43063,0.012587,'RT @ProFootballHOF: Board of Trustees approves master plan to develop a “Hall of Fame Village. Details: http://t.co/umDSXYAWm6 http://t.co…',biology,0.065432,18,Bot
