@relation 'trainwsae-weka.filters.unsupervised.attribute.Remove-R1-3,5,8-9'

@attribute sadness numeric
@attribute class {Bot,Human}
@attribute fear numeric
@attribute anger numeric
@attribute surprise numeric
@attribute joy numeric

@data
0.703584,Bot,0.113918,0.128419,0.008168,0.045911
0.190533,Bot,0.112559,0.544435,0.006755,0.145717
0.174079,Bot,0.155429,0.180779,0.161135,0.328578
0.147975,Bot,0.137544,0.02522,0.438305,0.250956
0.068614,Bot,0.058591,0.064704,0.366193,0.441898
0.305842,Bot,0.222066,0.403741,0.007262,0.061089
0.333978,Bot,0.164106,0.404688,0.053085,0.044143
0.466511,Bot,0.08963,0.035293,0.17331,0.235255
0.294009,Bot,0.180396,0.163229,0.094952,0.267413
0.43063,Bot,0.327299,0.104613,0.012587,0.12487
0.370571,Bot,0.197782,0.094964,0.034261,0.302421
0.022816,Bot,0.057529,0.016132,0.225673,0.67785
0.336531,Bot,0.234109,0.213767,0.065245,0.150349
0.229213,Bot,0.323389,0.267864,0.006576,0.172959
0.433747,Bot,0.167545,0.160359,0.068791,0.169558
0.194644,Bot,0.105402,0.0958,0.405069,0.199086
0.52819,Bot,0.239825,0.112635,0.037602,0.081749
0.275818,Bot,0.102952,0.56117,0.049807,0.010254
0.182119,Bot,0.303893,0.124745,0.009169,0.380073
0.231603,Bot,0.187604,0.157383,0.182498,0.240911
0.144006,Bot,0.152595,0.171302,0.322785,0.209312
0.141542,Bot,0.186146,0.125297,0.332317,0.214697
0.167759,Bot,0.325548,0.30225,0.079217,0.125227
0.145272,Bot,0.230556,0.564809,0.035986,0.023377
0.043138,Bot,0.462226,0.018583,0.238737,0.237317
0.111852,Bot,0.142781,0.079909,0.461925,0.203533
0.155995,Bot,0.177267,0.116073,0.362454,0.188211
0.491792,Bot,0.038719,0.067685,0.04776,0.354044
0.166323,Bot,0.233145,0.212322,0.186235,0.201974
0.141218,Bot,0.129091,0.258024,0.286734,0.184934
0.372016,Bot,0.116185,0.43342,0.027826,0.050553
0.274775,Bot,0.037956,0.108629,0.382773,0.195867
0.054402,Bot,0.337542,0.027145,0.079455,0.501457
0.33198,Bot,0.238577,0.180591,0.086122,0.162731
0.308464,Bot,0.234129,0.213638,0.171356,0.072414
0.168555,Bot,0.108506,0.397452,0.197181,0.128306
0.276014,Bot,0.151654,0.51803,0.017303,0.036998
0.249234,Bot,0.348747,0.096731,0.236766,0.068523
0.464142,Bot,0.19966,0.187965,0.098108,0.050125
0.189576,Bot,0.253276,0.277492,0.074529,0.205127
0.09443,Bot,0.037319,0.862071,0.002653,0.003527
0.391168,Bot,0.188612,0.116859,0.089209,0.214152
0.149269,Bot,0.163435,0.12606,0.405535,0.155701
0.263329,Bot,0.185889,0.18001,0.163532,0.20724
0.049344,Bot,0.049466,0.045311,0.549459,0.306419
0.333589,Bot,0.384554,0.148948,0.055445,0.077464
0.568171,Bot,0.120874,0.216114,0.037545,0.057296
