@relation 'trainwseap-weka.filters.unsupervised.attribute.Remove-R1-2,4,6,9,11'

@attribute joy numeric
@attribute extraversion numeric
@attribute sadness numeric
@attribute agreeableness numeric
@attribute conscientiousness numeric
@attribute anger numeric
@attribute surprise numeric
@attribute fear numeric
@attribute openness numeric
@attribute class {Bot,Human}

@data
0.045911,0.545983,0.703584,0.625037,0.465659,0.128419,0.008168,0.113918,0.476066,Bot
0.145717,0.356724,0.190533,0.446411,0.807785,0.544435,0.006755,0.112559,0.355307,Bot
0.328578,0.544416,0.174079,0.602299,0.485526,0.180779,0.161135,0.155429,0.49782,Bot
0.250956,0.547433,0.147975,0.552583,0.508842,0.02522,0.438305,0.137544,0.401245,Bot
0.441898,0.626587,0.068614,0.565741,0.439181,0.064704,0.366193,0.058591,0.542604,Bot
0.061089,0.676839,0.305842,0.738532,0.449679,0.403741,0.007262,0.222066,0.482595,Bot
0.044143,0.564619,0.333978,0.56582,0.466071,0.404688,0.053085,0.164106,0.539697,Bot
0.235255,0.487475,0.466511,0.545722,0.463462,0.035293,0.17331,0.08963,0.521154,Bot
0.267413,0.500679,0.294009,0.519883,0.484122,0.163229,0.094952,0.180396,0.559484,Bot
0.12487,0.446795,0.43063,0.464953,0.510796,0.104613,0.012587,0.327299,0.548611,Bot
0.302421,0.505638,0.370571,0.513936,0.475681,0.094964,0.034261,0.197782,0.57116,Bot
0.67785,0.452893,0.022816,0.496044,0.363998,0.016132,0.225673,0.057529,0.562685,Bot
0.150349,0.564296,0.336531,0.509066,0.477377,0.213767,0.065245,0.234109,0.502777,Bot
0.172959,0.522206,0.229213,0.491945,0.464936,0.267864,0.006576,0.323389,0.628299,Bot
0.169558,0.50675,0.433747,0.544255,0.439245,0.160359,0.068791,0.167545,0.554059,Bot
0.199086,0.547214,0.194644,0.469858,0.483991,0.0958,0.405069,0.105402,0.464586,Bot
0.081749,0.423173,0.52819,0.419969,0.506181,0.112635,0.037602,0.239825,0.52103,Bot
0.010254,0.599458,0.275818,0.508423,0.445171,0.56117,0.049807,0.102952,0.535592,Bot
0.380073,0.465765,0.182119,0.476661,0.497835,0.124745,0.009169,0.303893,0.55087,Bot
0.240911,0.515845,0.231603,0.385943,0.517796,0.157383,0.182498,0.187604,0.556054,Bot
0.209312,0.537985,0.144006,0.56202,0.460762,0.171302,0.322785,0.152595,0.530484,Bot
0.214697,0.47711,0.141542,0.435012,0.440678,0.125297,0.332317,0.186146,0.551646,Bot
0.125227,0.503923,0.167759,0.443111,0.454639,0.30225,0.079217,0.325548,0.648394,Bot
0.023377,0.550998,0.145272,0.540977,0.469219,0.564809,0.035986,0.230556,0.498156,Bot
0.237317,0.534874,0.043138,0.505127,0.333232,0.018583,0.238737,0.462226,0.511434,Bot
0.203533,0.467864,0.111852,0.494518,0.498192,0.079909,0.461925,0.142781,0.533742,Bot
0.188211,0.499277,0.155995,0.491073,0.470269,0.116073,0.362454,0.177267,0.550465,Bot
0.354044,0.497799,0.491792,0.449728,0.534249,0.067685,0.04776,0.038719,0.467181,Bot
0.201974,0.52811,0.166323,0.529209,0.497974,0.212322,0.186235,0.233145,0.40876,Bot
0.184934,0.488412,0.141218,0.523087,0.479218,0.258024,0.286734,0.129091,0.492597,Bot
0.050553,0.501235,0.372016,0.432142,0.49094,0.43342,0.027826,0.116185,0.569667,Bot
0.195867,0.573529,0.274775,0.621338,0.419641,0.108629,0.382773,0.037956,0.609166,Bot
0.501457,0.449672,0.054402,0.420275,0.451603,0.027145,0.079455,0.337542,0.574831,Bot
