@relation 'trainwseap-weka.filters.unsupervised.attribute.Remove-R4-5,8,10,15'

@attribute polarity {P,NONE,N,NEU,P+,N+}
@attribute confidence numeric
@attribute joy numeric
@attribute isIronic {False,True}
@attribute sadness numeric
@attribute isSubjective {True,False}
@attribute isAgreement {True,False}
@attribute anger numeric
@attribute surprise numeric
@attribute fear numeric
@attribute class {Bot,Human}

@data
P,100,0.045911,False,0.703584,True,True,0.128419,0.008168,0.113918,Bot
P,92,0.145717,False,0.190533,False,True,0.544435,0.006755,0.112559,Bot
NONE,100,0.328578,False,0.174079,False,True,0.180779,0.161135,0.155429,Bot
NONE,100,0.250956,False,0.147975,False,True,0.02522,0.438305,0.137544,Bot
P,100,0.441898,False,0.068614,True,True,0.064704,0.366193,0.058591,Bot
N,100,0.061089,False,0.305842,False,True,0.403741,0.007262,0.222066,Bot
P,92,0.044143,False,0.333978,False,True,0.404688,0.053085,0.164106,Bot
N,94,0.235255,False,0.466511,True,False,0.035293,0.17331,0.08963,Bot
NEU,94,0.267413,False,0.294009,False,False,0.163229,0.094952,0.180396,Bot
P,100,0.12487,False,0.43063,False,True,0.104613,0.012587,0.327299,Bot
N,100,0.302421,False,0.370571,False,True,0.094964,0.034261,0.197782,Bot
P,100,0.67785,False,0.022816,True,True,0.016132,0.225673,0.057529,Bot
NONE,100,0.150349,False,0.336531,False,True,0.213767,0.065245,0.234109,Bot
P+,100,0.172959,False,0.229213,False,True,0.267864,0.006576,0.323389,Bot
NONE,100,0.169558,False,0.433747,False,True,0.160359,0.068791,0.167545,Bot
NONE,100,0.199086,False,0.194644,False,True,0.0958,0.405069,0.105402,Bot
NONE,100,0.081749,False,0.52819,False,True,0.112635,0.037602,0.239825,Bot
NONE,100,0.010254,False,0.275818,False,True,0.56117,0.049807,0.102952,Bot
P,100,0.380073,False,0.182119,False,True,0.124745,0.009169,0.303893,Bot
N+,92,0.240911,False,0.231603,True,True,0.157383,0.182498,0.187604,Bot
