@relation trainwseap

@attribute polarity {P,NONE,N,NEU,P+,N+}
@attribute confidence numeric
@attribute joy numeric
@attribute text string
@attribute extraversion numeric
@attribute isIronic {False,True}
@attribute sadness numeric
@attribute agreeableness numeric
@attribute isSubjective {True,False}
@attribute conscientiousness numeric
@attribute isAgreement {True,False}
@attribute anger numeric
@attribute surprise numeric
@attribute fear numeric
@attribute openness numeric
@attribute class {Bot,Human}

@data
P,100,0.045911,'i remember in 7th grade we used to fight the 8th graders at recess . dem were the days man lol',0.545983,False,0.703584,0.625037,True,0.465659,True,0.128419,0.008168,0.113918,0.476066,Bot
P,92,0.145717,'You cannot perform in a manner inconsistent with the way you see yourself. - Zig Ziglar',0.356724,False,0.190533,0.446411,False,0.807785,True,0.544435,0.006755,0.112559,0.355307,Bot
NONE,100,0.328578,'@bpadthai Follow me!',0.544416,False,0.174079,0.602299,False,0.485526,True,0.180779,0.161135,0.155429,0.49782,Bot
NONE,100,0.250956,'@TayaPYT thanx babe .. Xoxo .. See u in a second',0.547433,False,0.147975,0.552583,False,0.508842,True,0.02522,0.438305,0.137544,0.401245,Bot
P,100,0.441898,'best taste in music',0.626587,False,0.068614,0.565741,True,0.439181,True,0.064704,0.366193,0.058591,0.542604,Bot
N,100,0.061089,'RT @KarlJCompton: I feel like a banshee today with my hair ugh',0.676839,False,0.305842,0.738532,False,0.449679,True,0.403741,0.007262,0.222066,0.482595,Bot
P,92,0.044143,'What do we live for if it is not to make life less difficult for each other? - George Eliot',0.564619,False,0.333978,0.56582,False,0.466071,True,0.404688,0.053085,0.164106,0.539697,Bot
N,94,0.235255,'@T_H_O_D Aim for the moon. If you miss you may hit a star. William Clement Stone',0.487475,False,0.466511,0.545722,True,0.463462,False,0.035293,0.17331,0.08963,0.521154,Bot
NEU,94,0.267413,'Venezuela beauty queens protest: While Venezuela beauty queens aid the opposition the president sings a song called Plastic. CNN\'s...',0.500679,False,0.294009,0.519883,False,0.484122,False,0.163229,0.094952,0.180396,0.559484,Bot
P,100,0.12487,'RT @ProFootballHOF: Board of Trustees approves master plan to develop a “Hall of Fame Village. Details: http://t.co/umDSXYAWm6 http://t.co…',0.446795,False,0.43063,0.464953,False,0.510796,True,0.104613,0.012587,0.327299,0.548611,Bot
N,100,0.302421,'@Prinnysparkles Music should strike fire from the heart of man and bring tears from the eyes of woman. - Ludwig van Beethoven',0.505638,False,0.370571,0.513936,False,0.475681,True,0.094964,0.034261,0.197782,0.57116,Bot
P,100,0.67785,'@prachtlamas Danke das werde ich bestimmt in nächster Zeit mal tun. Schönen Abend! :)',0.452893,False,0.022816,0.496044,True,0.363998,True,0.016132,0.225673,0.057529,0.562685,Bot
NONE,100,0.150349,'@valdarcala please follow me',0.564296,False,0.336531,0.509066,False,0.477377,True,0.213767,0.065245,0.234109,0.502777,Bot
P+,100,0.172959,'@cydneypoppins2 Now is the time. Needs are great but your possibilities are greater. - Bill Blackman',0.522206,False,0.229213,0.491945,False,0.464936,True,0.267864,0.006576,0.323389,0.628299,Bot
