polarity,confidence,joy,text,extraversion,isIronic,sadness,agreeableness,isSubjective,conscientiousness,isAgreement,anger,surprise,fear,openness,class
P,100,0.04591129720211029,"i remember in 7th grade we used to fight the 8th graders at recess . dem were the days man lol",0.545983136710474,False,0.7035837173461914,0.6250365909777189,True,0.4656585345323059,True,0.1284189075231552,0.008168450556695461,0.11391761898994446,0.476066254566763,Bot
P,92,0.14571726322174072,"You cannot perform in a manner inconsistent with the way you see yourself. - Zig Ziglar",0.35672394350423653,False,0.19053326547145844,0.4464108875969,False,0.8077846388707215,True,0.5444351434707642,0.006755413953214884,0.11255890876054764,0.35530722948992355,Bot
NONE,100,0.3285781741142273,"@bpadthai Follow me!",0.5444162950172262,False,0.17407891154289246,0.6022993849034896,False,0.4855261534109883,True,0.18077895045280457,0.1611349731683731,0.15542897582054138,0.4978197495513987,Bot
NONE,100,0.2509562373161316,"@TayaPYT thanx babe .. Xoxo .. See u in a second",0.547432663077015,False,0.14797496795654297,0.5525832416718466,False,0.5088422051791487,True,0.025219593197107315,0.43830543756484985,0.13754382729530334,0.40124453283916006,Bot
P,100,0.44189777970314026,"best taste in music",0.626586852942483,False,0.06861419230699539,0.5657405842814528,True,0.4391811452377802,True,0.064704030752182,0.36619293689727783,0.05859106034040451,0.5426035211465069,Bot
N,100,0.06108887493610382,"RT @KarlJCompton: I feel like a banshee today with my hair ugh",0.6768388114238191,False,0.30584216117858887,0.7385318969425401,False,0.44967934626272354,True,0.4037413001060486,0.007261990569531918,0.22206565737724304,0.4825952894219728,Bot
P,92,0.04414307326078415,"What do we live for if it is not to make life less difficult for each other? - George Eliot",0.5646191181267722,False,0.3339782655239105,0.5658202579146937,False,0.46607110075566954,True,0.4046875536441803,0.05308467522263527,0.16410641372203827,0.539697073330389,Bot
N,94,0.23525546491146088,"@T_H_O_D Aim for the moon. If you miss you may hit a star. William Clement Stone",0.4874747930946997,False,0.46651142835617065,0.5457215068633097,True,0.4634624222914378,False,0.03529337793588638,0.1733095943927765,0.08963016420602798,0.5211540995357192,Bot
NEU,94,0.2674131989479065,"Venezuela beauty queens protest: While Venezuela beauty queens aid the opposition the president sings a song called Plastic. CNN's...",0.5006791189060374,False,0.29400938749313354,0.5198833602562284,False,0.48412195019338317,False,0.16322948038578033,0.09495174884796143,0.1803961843252182,0.5594839735008845,Bot
P,100,0.12487046420574188,"RT @ProFootballHOF: Board of Trustees approves master plan to develop a “Hall of Fame Village. Details: http://t.co/umDSXYAWm6 http://t.co…",0.4467947609343771,False,0.43063002824783325,0.46495294204929416,False,0.51079622801693,True,0.10461275279521942,0.012587354518473148,0.32729941606521606,0.5486106145604748,Bot
N,100,0.3024212419986725,"@Prinnysparkles Music should strike fire from the heart of man and bring tears from the eyes of woman. - Ludwig van Beethoven",0.5056381841837351,False,0.370571494102478,0.5139364176674892,False,0.4756805845375719,True,0.09496399760246277,0.03426099568605423,0.19778230786323547,0.5711598878151902,Bot
P,100,0.6778501272201538,"@prachtlamas Danke das werde ich bestimmt in nächster Zeit mal tun. Schönen Abend! :)",0.45289272082559134,False,0.022815711796283722,0.4960441155391826,True,0.3639983920187786,True,0.016131646931171417,0.225673109292984,0.05752938613295555,0.5626849546053699,Bot
NONE,100,0.15034854412078857,"@valdarcala please follow me",0.5642959472991653,False,0.3365311622619629,0.509065608183543,False,0.4773767121221828,True,0.21376651525497437,0.06524460017681122,0.23410920798778534,0.5027768372375273,Bot
P+,100,0.17295880615711212,"@cydneypoppins2 Now is the time. Needs are great but your possibilities are greater. - Bill Blackman",0.5222062392760132,False,0.229213148355484,0.4919451841136864,False,0.46493599469634306,True,0.26786378026008606,0.006575617007911205,0.32338863611221313,0.6282989204486954,Bot
NONE,100,0.16955772042274475,"@biebertherapper We make a living by what we get we make a life by what we give. - Winston Churchill",0.5067502616320627,False,0.43374669551849365,0.5442546396924738,False,0.4392453719829691,True,0.16035886108875275,0.0687914788722992,0.16754524409770966,0.554058631446874,Bot
NONE,100,0.1990857869386673,"Ended the day in a and note fukk you",0.5472137359744411,False,0.19464415311813354,0.46985756096086995,False,0.4839907771554486,True,0.09579961001873016,0.4050688147544861,0.10540162771940231,0.46458640276828655,Bot
NONE,100,0.08174929767847061,"RT @Metro_TV: Gerald Pangkali: Kita Kembali kepada Kinerja Wasit   http://t.co/Dtr7jIpBor",0.42317263579974745,False,0.5281898379325867,0.4199687770584173,False,0.5061809622693336,True,0.11263450980186462,0.03760174661874771,0.2398245930671692,0.5210303956660154,Bot
NONE,100,0.010253588669002056,"Why do people act like LeBron was the first person to do the powder toss?",0.5994579057067128,False,0.27581754326820374,0.5084227177134731,False,0.4451714116951515,True,0.5611701607704163,0.049806661903858185,0.1029520183801651,0.5355917109507266,Bot
P,100,0.3800731897354126,"A leader has the vision and conviction that a dream can be achieved. He inspires the power and energy to get it done. - Ralph Lauren",0.46576480441174267,False,0.18211917579174042,0.4766608691006376,False,0.4978354525292057,True,0.12474530190229416,0.009169436059892178,0.30389291048049927,0.5508699770842755,Bot
N+,92,0.24091140925884247,"@ngxinyyu Nothing not even sheer ability can make up for the dedication required for a successful business career. - Ray Eppert",0.515844599675324,False,0.2316027581691742,0.3859429171210841,True,0.5177960875390589,True,0.1573830246925354,0.18249830603599548,0.18760445713996887,0.5560540105694921,Bot
P,100,0.20931163430213928,"@NJoshuaDart very cool",0.5379854147717105,False,0.1440064013004303,0.562020276722155,True,0.4607619646636919,True,0.17130152881145477,0.3227851986885071,0.15259526669979095,0.5304835221477757,Bot
NONE,100,0.2146967053413391,"@liveyoucaique awsome",0.4771098269749496,False,0.1415424942970276,0.43501231388041844,False,0.4406777644294432,True,0.1252974271774292,0.33231687545776367,0.18614649772644043,0.5516459838809253,Bot
NONE,100,0.12522688508033752,"@GarrettArt Whatever advice you give be brief. - Horace",0.5039233855776868,False,0.16775885224342346,0.4431110573442359,False,0.45463878601446917,True,0.3022495210170746,0.07921706140041351,0.3255477249622345,0.6483942562731626,Bot
P,100,0.02337728999555111,"What must i do to make you understand...??",0.5509982682385688,False,0.14527210593223572,0.5409774832558213,False,0.4692188771976822,True,0.5648090839385986,0.035985998809337616,0.23055559396743774,0.4981560250309025,Bot
P,100,0.23731665313243866,"@M_Gutowsky Mir geht's gut! :) Und bei dir auch alles okay?",0.5348740050853309,False,0.0431380420923233,0.5051270441005103,True,0.3332317200885422,True,0.01858295127749443,0.23873677849769592,0.4622255563735962,0.5114338236434437,Bot
NONE,100,0.2035333216190338,"@kotetu5000 @brave03 リツイート解除じゃなくて連携解除しなさいよwwwww",0.4678641335438874,False,0.11185205727815628,0.49451794488388195,False,0.4981915135493224,True,0.07990866899490356,0.46192464232444763,0.1427813321352005,0.5337419924891996,Bot
P,100,0.18821102380752563,"@LaunchBubble nice...",0.4992773623789772,False,0.15599489212036133,0.4910728999397209,True,0.4702691740688236,True,0.11607310175895691,0.36245355010032654,0.177267387509346,0.5504650532085205,Bot
N,92,0.35404378175735474,"A life without love is like a year without summer. - Swedish Proverb",0.49779894594418805,False,0.49179190397262573,0.4497280465929131,True,0.5342488007983942,True,0.06768517941236496,0.04776030406355858,0.0387188158929348,0.46718087764543903,Bot
NONE,100,0.20197448134422302,"one.",0.528110380394984,False,0.16632302105426788,0.5292088692648369,False,0.49797432998131064,True,0.2123224437236786,0.18623527884483337,0.23314480483531952,0.40875965691058436,Bot
P,100,0.1849336475133896,"The time is always right to do what is right. - Martin Luther King Jr.",0.48841207310304807,False,0.14121779799461365,0.5230868176410072,False,0.4792184788605262,True,0.2580241858959198,0.2867337465286255,0.12909063696861267,0.49259749584108864,Bot
N,100,0.05055274814367294,"@2200GRAMS Where your talents and the needs of the world cross lies your calling. - Aristotle",0.5012345079143169,False,0.3720158636569977,0.43214156962277595,False,0.4909403354957186,True,0.43342041969299316,0.02782605029642582,0.11618492007255554,0.5696670752819453,Bot
